Year,Hot_Days
1985,67
1986,150
1987,115
1988,60
1989,100
1990,160
1991,40
1992,240
1993,180
1994,160
1995,190
1996,180
1997,320
1998,190
1999,30
2000,70
2001,40
2002,30
2003,170
2004,120
2005,150
2006,80
2007,70
2008,30
2009,70
2010,40
2011,30
2012,50
2013,40
2014,380
2015,520
2016,220
2017,190
2018,120
2019,210
2020,200
