lat,month,yr1988,yr1989,yr1990,yr1991,yr1992,yr1993,yr1994,yr1995,yr1996,yr1997,yr1998,yr1999,yr2000,yr2001,yr2002,yr2003,yr2004,yr2005,yr2006,yr2007,yr2008,yr2009,yr2010
40.78,Jul,11.677,12.173,12.442,10.891,13.319,11.752,11.243,14.034,11.583,13.06,12.17,11.365,11.873,11.414,11.666,12.382,12.709,12.753,12.095,14.066,12.018,11.717,11.058
40.78,Aug,11.469,12.465,12.636,13.194,12.721,13.256,13.849,12.843,12.58,14.31,12.388,12.758,12.276,12.154,11.42,13.657,13.436,11.996,11.832,14.039,13.518,12.792,12.232
40.78,Sep,10.746,11.64,15.052,11.9,12.503,11.535,12.948,14.626,12.35,16.664,12.284,11.612,12.369,11.585,12.735,12.04,12.066,11.514,11.702,13.495,11.81,13.478,12.979
40.78,Oct,12.224,11.513,10.949,11.617,12.842,12.485,11.782,12.494,12.412,12.316,12.57,10.892,11.271,11.562,10.849,13.241,12.637,11.996,11.831,12.253,12.201,12.32,11.966
40.78,Nov,12.049,10.863,11.548,10.786,12.739,11.42,10.563,12.409,11.872,14.392,12.079,11.9,10.884,11.556,11.767,11.625,11.428,11.728,12.551,11.829,12.241,13.044,12.409
40.78,Dec,10.594,11.571,10.55,9.869,11.639,11.869,10.862,13.579,11.886,13.863,10.921,11.007,11.664,11.075,12.269,11.92,11.107,12.188,11.67,10.349,10.876,10.771,11.932
39.22,Jan,11.366,10.252,11.525,10.647,12.257,11.808,12.183,11.596,12.969,11.988,14.155,11.232,10.726,11.204,11.232,12.472,11.756,12.267,12.685,10.819,10.322,10.928,12.108
39.22,Feb,11.047,10.164,10.807,11.367,13.139,12.385,12.047,12.178,13.09,11.493,13.625,10.929,11.356,10.011,10.884,12.206,11.499,12.423,11.76,11.011,10.361,10.496,12.024
39.22,Mar,11.029,10.626,10.64,10.806,13.162,12.675,11.867,12.414,11.841,10.518,12.447,11.015,10.342,10.547,10.738,11.657,11.086,12.886,11.382,10.792,9.967,10.32,11.73
39.22,Apr,10.801,11.846,11.022,10.445,12.904,12.189,10.915,11.47,11.921,10.976,11.544,10.436,11.057,9.92,10.422,11.366,11.375,11.944,11.758,10.129,9.287,9.142,11.05
39.22,May,11.494,11.475,10.837,9.566,12.682,12.325,10.576,10.548,10.956,13.717,12.472,9.358,11.141,10.361,10.653,10.437,12.029,12.929,10.941,10.107,9.632,9.914,10.135
