lat,month,yr1988,yr1989,yr1990,yr1991,yr1992,yr1993,yr1994,yr1995,yr1996,yr1997,yr1998,yr1999,yr2000,yr2001,yr2002,yr2003,yr2004,yr2005,yr2006,yr2007,yr2008,yr2009,yr2010
33.74,Feb,14.288,13.074,15.008,15.489,15.005,14.897,14.278,14.844,14.803,14.235,16.369,13.536,13.714,12.828,14.218,15.042,13.928,15.368,14.549,14.815,13.612,13.971,15.27
33.74,Mar,14.962,14.126,14.259,15.294,15.521,15.44,14.769,15.086,14.09,15.083,15.985,13.66,14.027,13.979,14.057,14.586,14.879,15.688,13.226,14.468,14.219,14.366,14.82
33.74,Apr,16.216,15.767,15.961,14.588,17.691,15.843,14.32,14.516,14.684,15.523,14.993,13.354,15.067,13.613,14.416,14.483,15.447,14.953,15.209,14.838,14.605,14.528,14.637
33.74,May,16.02,16.139,17.304,14.596,18.15,17.573,15.417,14.776,17.444,18.062,16.621,15.809,16.447,16.573,15.923,15.305,17.763,16.986,16.899,15.564,16.762,17.072,15.144
33.74,Jun,16.053,16.17,18.798,16.512,17.218,19.341,18.455,16.565,18.558,19.847,18.107,16.642,18.922,18.809,17.755,17.675,18.66,18.137,19.063,17.578,18.554,18.031,17.515
33.74,Jul,19.791,16.966,20.387,18.27,19.856,20.39,19.167,18.443,18.336,18.748,19.418,18.449,19.684,19.013,19.031,19.978,19.787,18.855,21.583,20.309,19.83,19.968,17.736
33.74,Aug,20.345,17.943,19.698,18.844,21.222,19.805,20.31,19.332,20.137,20.235,20.612,18.289,20.582,19.133,19.43,20.639,20.526,20.124,21.435,20.867,21.102,20.087,18.19
33.74,Sep,19.244,17.241,21.367,18.147,20.14,19.609,19.701,19.856,20.359,20.889,20.841,17.69,19.985,19.005,19.028,18.536,20.959,19.632,20.036,18.641,20.296,19.882,17.935
33.74,Oct,18.812,18.117,20.133,18.542,19.155,19.096,18.64,19.113,18.249,20.34,18.702,18.198,18.435,18.258,17.671,18.046,18.743,18.36,17.883,18.147,18.619,18.454,17.988
33.74,Nov,16.389,17.665,18.277,16.212,18.202,17.471,15.825,17.006,16.015,20.171,16.79,16.919,16.02,17.058,16.616,15.782,17.49,16.769,17.97,16.491,17.075,17.231,16.676
33.74,Dec,14.265,16.896,16.007,14.496,15.537,16.072,15.091,16.194,14.773,16.985,14.2,14.567,14.578,14.227,15.7,15.166,15.79,15.45,16.112,14.512,15.217,15.14,14.243
