Year,Total_Pop
1985,3
1986,1
1987,8
1988,0
1989,4
1990,2
1991,4
1992,6
1993,11
1994,4
1995,10
1996,11
1997,6
1998,10
1999,24
2000,13
2001,24
2002,11
2003,33
2004,22
2005,28
2006,33
2007,37
2008,24
2009,45
2010,58
2011,75
2012,62
2013,87
2014,88
2015,90
2016,91
2017,93
2018,94
2019,96
2020,97
